name,season,injury,from,until,days_out,missed_matches,last_season
Manuel Neuer,24/25,Torn muscle fiber,"Mar 6, 2025","Apr 30, 2025",56 days,10,23/24
Manuel Neuer,24/25,Rib fracture,"Dec 6, 2024","Dec 31, 2024",26 days,4,23/24
Manuel Neuer,24/25,Thigh problems,"Sep 18, 2024","Sep 26, 2024",9 days,1,23/24
Manuel Neuer,23/24,infection,"May 27, 2024","May 31, 2024",5 days,-,22/23
Manuel Neuer,23/24,Torn muscle fiber,"Mar 20, 2024","Apr 8, 2024",20 days,4,22/23
Manuel Neuer,23/24,Fitness,"Oct 18, 2023","Oct 25, 2023",8 days,2,22/23
Manuel Neuer,22/23,Lower leg fracture,"Dec 10, 2022","Oct 17, 2023",312 days,44,21/22
Manuel Neuer,22/23,Shoulder joint contusion,"Oct 10, 2022","Nov 3, 2022",25 days,7,21/22
Manuel Neuer,22/23,Corona virus,"Sep 19, 2022","Sep 26, 2022",8 days,2,21/22
Manuel Neuer,21/22,Knee surgery,"Feb 3, 2022","Mar 7, 2022",33 days,6,20/21
Manuel Neuer,21/22,Corona virus,"Dec 30, 2021","Jan 13, 2022",15 days,1,20/21
Manuel Neuer,21/22,Capsular injury,"Aug 30, 2021","Sep 2, 2021",4 days,1,20/21
Manuel Neuer,21/22,Capsular injury,"Aug 23, 2021","Aug 26, 2021",4 days,1,20/21
Manuel Neuer,18/19,Torn muscle fiber,"Apr 15, 2019","May 20, 2019",36 days,6,17/18
Manuel Neuer,18/19,Calf problems,"Mar 28, 2019","Apr 8, 2019",12 days,3,17/18
Marco Friedl,24/25,Fitness,"Mar 4, 2025","Mar 11, 2025",8 days,1,23/24
Marco Friedl,24/25,Internal ligament strain,"Jan 31, 2025","Mar 4, 2025",33 days,6,23/24
Marco Friedl,23/24,Syndesmotic ligament tear,"Feb 20, 2024","Mar 25, 2024",35 days,5,22/23
Marco Friedl,23/24,muscular problems,"Dec 9, 2023","Dec 18, 2023",10 days,2,22/23
Marco Friedl,23/24,Injury to abdominal muscles,"Sep 23, 2023","Oct 3, 2023",11 days,2,22/23
Marco Friedl,23/24,Injury to abdominal muscles,"Jul 22, 2023","Aug 6, 2023",16 days,-,22/23
Marco Friedl,22/23,Ill,"Mar 8, 2023","Mar 21, 2023",14 days,2,21/22
Marco Friedl,22/23,Adductor pain,"Oct 17, 2022","Oct 20, 2022",4 days,1,21/22
Marco Friedl,21/22,Abdominal muscle strain,"Mar 10, 2022","Apr 7, 2022",29 days,5,20/21
Marco Friedl,21/22,Thigh problems,"Feb 10, 2022","Feb 21, 2022",12 days,2,20/21
Marco Friedl,21/22,Corona virus,"Dec 30, 2021","Jan 13, 2022",15 days,-,20/21
Marco Friedl,21/22,Corona virus,"Nov 11, 2021","Nov 25, 2021",15 days,3,20/21
Marco Friedl,20/21,Pelvic contusion,"Apr 26, 2021","May 17, 2021",22 days,3,19/20
Marco Friedl,20/21,Thigh problems,"Dec 21, 2020","Dec 31, 2020",11 days,1,19/20
Marco Friedl,17/18,minor knock,"Dec 7, 2017","Dec 21, 2017",15 days,4,16/17
Juan Bernat,23/24,Inflammation of pubic bone,"Nov 2, 2023","Mar 25, 2024",145 days,30,22/23
Juan Bernat,21/22,Calf injury,"Mar 10, 2023","Apr 5, 2023",27 days,3,20/21
Juan Bernat,22/23,muscular problems,"Dec 27, 2022","Dec 29, 2022",3 days,1,21/22
Juan Bernat,21/22,Corona virus,"Jan 2, 2022","Jan 15, 2022",14 days,3,20/21
Juan Bernat,21/22,Adductor pain,"Sep 2, 2021","Sep 13, 2021",12 days,1,20/21
Juan Bernat,20/21,Cruciate ligament tear,"Sep 16, 2020","Aug 29, 2021",348 days,60,19/20
Juan Bernat,19/20,Calf problems,"Jul 12, 2020","Jul 26, 2020",15 days,1,18/19
Juan Bernat,19/20,Calf problems,"Jan 13, 2020","Feb 10, 2020",29 days,8,18/19
Juan Bernat,17/18,muscular problems,"May 1, 2018","May 17, 2018",17 days,3,16/17
Juan Bernat,17/18,Ankle problems,"Mar 29, 2018","Apr 2, 2018",5 days,1,16/17
Juan Bernat,17/18,muscular problems,"Nov 27, 2017","Dec 14, 2017",18 days,4,16/17
Juan Bernat,17/18,Fitness,"Oct 19, 2017","Nov 16, 2017",29 days,7,16/17
Juan Bernat,17/18,Syndesmotic ligament tear,"Jul 24, 2017","Oct 19, 2017",88 days,17,16/17
Juan Bernat,16/17,muscular problems,"Mar 9, 2017","Mar 13, 2017",5 days,1,15/16
Juan Bernat,16/17,muscular problems,"Oct 10, 2016","Oct 17, 2016",8 days,1,15/16
Thiago Alcántara,23/24,Muscle injury,"Feb 4, 2024","May 31, 2024",118 days,23,22/23
Thiago Alcántara,22/23,Hip injury,"Apr 27, 2023","Feb 2, 2024",282 days,41,21/22
Thiago Alcántara,22/23,Hip flexor problems,"Feb 11, 2023","Apr 7, 2023",56 days,10,21/22
Thiago Alcántara,22/23,Hamstring injury,"Aug 6, 2022","Sep 4, 2022",30 days,6,21/22
Thiago Alcántara,21/22,Thigh problems,"Feb 26, 2022","Mar 6, 2022",9 days,3,20/21
Thiago Alcántara,21/22,Hip injury,"Dec 27, 2021","Feb 2, 2022",38 days,7,20/21
Thiago Alcántara,21/22,Corona virus,"Dec 19, 2021","Dec 29, 2021",11 days,3,20/21
Thiago Alcántara,21/22,Calf injury,"Sep 18, 2021","Oct 31, 2021",44 days,10,20/21
Thiago Alcántara,20/21,Knee injury,"Oct 17, 2020","Dec 28, 2020",73 days,20,19/20
Thiago Alcántara,20/21,Corona virus,"Sep 23, 2020","Oct 16, 2020",24 days,7,19/20
Thiago Alcántara,19/20,Groin surgery,"Jun 11, 2020","Jul 4, 2020",24 days,5,18/19
Thiago Alcántara,19/20,Groin problems,"May 10, 2020","Jun 5, 2020",27 days,4,18/19
Thiago Alcántara,19/20,Cervical spine injury,"Aug 23, 2019","Aug 30, 2019",8 days,1,18/19
Thiago Alcántara,18/19,muscular problems,"Jan 30, 2019","Feb 3, 2019",5 days,1,17/18
Thiago Alcántara,18/19,Torn lateral ankle ligament,"Oct 31, 2018","Nov 28, 2018",29 days,7,17/18
Ron-Thorben Hoffmann,24/25,Ill,"May 16, 2025","May 19, 2025",4 days,1,23/24
Ron-Thorben Hoffmann,23/24,Ill,"Feb 16, 2024","Feb 19, 2024",4 days,1,22/23
Ron-Thorben Hoffmann,22/23,Corona virus,"Sep 29, 2022","Oct 6, 2022",8 days,1,21/22
Ron-Thorben Hoffmann,21/22,Corona virus,"Jan 1, 2022","Jan 14, 2022",14 days,2,20/21
Ron-Thorben Hoffmann,20/21,Knee injury,"Mar 7, 2021","Apr 12, 2021",37 days,6,19/20
Ron-Thorben Hoffmann,18/19,Ill,"Nov 21, 2018","Nov 28, 2018",8 days,2,17/18
Ron-Thorben Hoffmann,16/17,concussion,"Aug 26, 2016","Sep 16, 2016",22 days,4,15/16
Mats Hummels,24/25,Rest,"Feb 8, 2025","Feb 10, 2025",3 days,1,23/24
Mats Hummels,24/25,influenza,"Dec 16, 2024","Dec 20, 2024",5 days,1,23/24
Mats Hummels,24/25,Fever,"Oct 5, 2024","Oct 8, 2024",4 days,1,23/24
Mats Hummels,23/24,Rest,"May 10, 2024","May 12, 2024",3 days,1,22/23
Mats Hummels,23/24,Rest,"May 3, 2024","May 5, 2024",3 days,1,22/23
Mats Hummels,23/24,infection,"Jan 12, 2024","Jan 22, 2024",11 days,2,22/23
Mats Hummels,22/23,Thigh problems,"Nov 3, 2022","Nov 3, 2022",1 days,-,21/22
Mats Hummels,22/23,cold,"Sep 29, 2022","Oct 6, 2022",8 days,2,21/22
Mats Hummels,22/23,Hip problems,"Aug 22, 2022","Aug 25, 2022",4 days,-,21/22
Mats Hummels,21/22,Muscle injury,"Apr 11, 2022","Jun 30, 2022",81 days,9,20/21
Mats Hummels,21/22,Corona virus,"Mar 7, 2022","Mar 14, 2022",8 days,1,20/21
Mats Hummels,21/22,cold,"Dec 16, 2021","Dec 20, 2021",5 days,1,20/21
Mats Hummels,21/22,Patellar tendon problems,"Aug 19, 2021","Sep 9, 2021",22 days,5,20/21
Mats Hummels,21/22,Patellar tendon problems,"Jul 1, 2021","Aug 19, 2021",50 days,3,20/21
Mats Hummels,20/21,Knee problems,"Feb 1, 2021","Feb 4, 2021",4 days,1,19/20
Rafinha,23/24,Leg injury,"Apr 5, 2024","Jul 5, 2024",92 days,22,22/23
Rafinha,23/24,Tendon rupture,"Feb 4, 2024","Mar 8, 2024",34 days,8,22/23
Rafinha,22/23,ankle sprain,"Jan 22, 2023","Mar 31, 2023",69 days,11,21/22
Rafinha,22/23,unknown injury,"Aug 9, 2022","Aug 16, 2022",8 days,2,21/22
Rafinha,22/23,influenza,"Jul 2, 2022","Jul 5, 2022",4 days,1,21/22
Rafinha,18/19,Inner ankle ligament tear,"Sep 16, 2018","Oct 16, 2018",31 days,6,17/18
Rafinha,17/18,Knock,"Nov 20, 2017","Nov 24, 2017",5 days,1,16/17
Rafinha,16/17,Adductor pain,"Oct 27, 2016","Oct 31, 2016",5 days,1,15/16
Rafinha,15/16,Knee bruise,"Jan 18, 2016","Jan 28, 2016",11 days,1,14/15
Rafinha,14/15,Ligament injury,"Jan 29, 2015","Feb 9, 2015",12 days,3,13/14
Rafinha,14/15,Outer ligament tear,"Aug 11, 2014","Sep 15, 2014",36 days,6,13/14
Rafinha,12/13,influenza,"Feb 25, 2013","Mar 7, 2013",11 days,2,11/12
Rafinha,12/13,Capsular injury,"Jan 28, 2013","Feb 4, 2013",8 days,1,11/12
Rafinha,12/13,Ankle ligament tear,"Jul 19, 2012","Sep 6, 2012",50 days,4,11/12
Rafinha,11/12,influenza,"Mar 8, 2012","Mar 12, 2012",5 days,1,10/11
Sandro Wagner,17/18,Achilles tendon problems,"Dec 1, 2017","Dec 16, 2017",16 days,5,16/17
Sandro Wagner,17/18,Stomach flu,"Nov 20, 2017","Nov 23, 2017",4 days,1,16/17
Sandro Wagner,17/18,Adductor pain,"Oct 23, 2017","Oct 26, 2017",4 days,1,16/17
Sandro Wagner,17/18,cold,"Sep 28, 2017","Oct 2, 2017",5 days,2,16/17
Sandro Wagner,17/18,muscular problems,"Sep 7, 2017","Sep 11, 2017",5 days,1,16/17
Sandro Wagner,17/18,Rest,"Aug 17, 2017","Aug 21, 2017",5 days,1,16/17
Sandro Wagner,17/18,Ankle problems,"Aug 7, 2017","Aug 10, 2017",4 days,-,16/17
Sandro Wagner,16/17,Ankle problems,"Apr 10, 2017","Apr 13, 2017",4 days,-,15/16
Sandro Wagner,16/17,Ankle injury,"Sep 26, 2016","Sep 26, 2016",1 days,-,15/16
Sandro Wagner,15/16,minor knock,"Feb 29, 2016","Feb 29, 2016",1 days,-,14/15
Sandro Wagner,15/16,minor knock,"Feb 4, 2016","Feb 4, 2016",1 days,-,14/15
Sandro Wagner,15/16,Ankle problems,"Dec 31, 2015","Jan 18, 2016",19 days,-,14/15
Sandro Wagner,15/16,cold,"Dec 10, 2015","Dec 10, 2015",1 days,-,14/15
Sandro Wagner,14/15,Ankle injury,"Feb 2, 2015","Feb 5, 2015",4 days,1,13/14
Sandro Wagner,13/14,Internal ligament strain,"Oct 17, 2013","Oct 31, 2013",15 days,2,12/13
Paul Will,24/25,Cruciate ligament tear,"Sep 5, 2024","Jun 30, 2025",299 days,32,23/24
Paul Will,23/24,Ill,"Mar 11, 2024","Mar 15, 2024",5 days,-,22/23
Paul Will,23/24,Stomach flu,"Nov 20, 2023","Nov 25, 2023",6 days,1,22/23
Paul Will,22/23,Ankle injury,"Feb 11, 2023","Mar 12, 2023",30 days,5,21/22
Paul Will,22/23,influenza,"Sep 23, 2022","Sep 26, 2022",4 days,1,21/22
Paul Will,22/23,Adductor pain,"Sep 15, 2022","Sep 16, 2022",2 days,-,21/22
Paul Will,22/23,Torn muscle fiber,"Jul 4, 2022","Jul 25, 2022",22 days,1,21/22
Paul Will,21/22,concussion,"May 23, 2022","May 26, 2022",4 days,1,20/21
Paul Will,21/22,influenza,"Feb 21, 2022","Feb 28, 2022",8 days,1,20/21
Paul Will,20/21,Torn lateral ankle ligament,"Nov 30, 2020","Dec 31, 2020",32 days,5,19/20
Paul Will,20/21,Broken nose bone,"Sep 3, 2020","Sep 7, 2020",5 days,-,19/20
Paul Will,18/19,Torn lateral knee ligament,"Feb 7, 2019","Apr 15, 2019",68 days,9,17/18
Paul Will,18/19,Muscle injury,"Nov 12, 2018","Jan 14, 2019",64 days,3,17/18
Paul Will,18/19,Back problems,"Aug 23, 2018","Aug 30, 2018",8 days,1,17/18
David Alaba,24/25,Meniscus tear,"Apr 29, 2025",,63 days,8,23/24
David Alaba,24/25,Adductor injury,"Feb 4, 2025","Feb 18, 2025",15 days,4,23/24
David Alaba,23/24,Cruciate ligament tear,"Dec 18, 2023","Jan 4, 2025",384 days,73,22/23
David Alaba,23/24,Adductor pain,"Sep 27, 2023","Oct 19, 2023",23 days,6,22/23
David Alaba,22/23,Hamstring injury,"Feb 22, 2023","Mar 22, 2023",29 days,6,21/22
David Alaba,22/23,Muscle injury,"Jan 9, 2023","Feb 3, 2023",26 days,7,21/22
David Alaba,21/22,Fitness,"Jun 2, 2022","Jun 6, 2022",5 days,2,20/21
David Alaba,21/22,Adductor pain,"May 5, 2022","May 26, 2022",22 days,4,20/21
David Alaba,21/22,Adductor pain,"Apr 28, 2022","May 2, 2022",5 days,1,20/21
David Alaba,21/22,muscular problems,"Feb 24, 2022","Feb 28, 2022",5 days,1,20/21
David Alaba,21/22,muscular problems,"Jan 10, 2022","Jan 13, 2022",4 days,1,20/21
David Alaba,21/22,Corona virus,"Dec 20, 2021","Dec 27, 2021",8 days,1,20/21
David Alaba,21/22,muscular problems,"Sep 9, 2021","Sep 13, 2021",5 days,1,20/21
David Alaba,21/22,Corona virus,"Jul 29, 2021","Aug 2, 2021",5 days,-,20/21
David Alaba,20/21,Muscle injury,"Mar 11, 2021","Mar 15, 2021",5 days,1,19/20
Woo-yeong Jeong,24/25,Ankle injury,"Mar 30, 2025","Jun 30, 2025",93 days,8,23/24
Woo-yeong Jeong,24/25,Knock,"Dec 15, 2024","Dec 23, 2024",9 days,1,23/24
Woo-yeong Jeong,22/23,Ill,"Mar 8, 2023","Mar 12, 2023",5 days,2,21/22
Woo-yeong Jeong,22/23,Ill,"Mar 6, 2023","Mar 10, 2023",5 days,1,21/22
Woo-yeong Jeong,21/22,Corona virus,"Mar 10, 2022","Mar 28, 2022",19 days,3,20/21
Woo-yeong Jeong,20/21,Knee problems,"Apr 1, 2021","Apr 5, 2021",5 days,1,19/20
Woo-yeong Jeong,19/20,minor knock,"Aug 12, 2019","Aug 15, 2019",4 days,-,18/19
Woo-yeong Jeong,18/19,minor knock,"Apr 1, 2019","Apr 15, 2019",15 days,3,17/18
Woo-yeong Jeong,17/18,Syndesmotic ligament tear,"Mar 5, 2018","Jun 21, 2018",109 days,16,16/17
Sebastian Rudy,22/23,Thigh problems,"Mar 10, 2023","Mar 17, 2023",8 days,1,21/22
Sebastian Rudy,22/23,Ill,"Nov 10, 2022","Nov 16, 2022",7 days,1,21/22
Sebastian Rudy,21/22,Corona virus,"Apr 7, 2022","Apr 14, 2022",8 days,1,20/21
Sebastian Rudy,21/22,Torn muscle fiber,"Feb 28, 2022","Mar 21, 2022",22 days,3,20/21
Sebastian Rudy,21/22,muscular problems,"Nov 18, 2021","Dec 2, 2021",15 days,2,20/21
Sebastian Rudy,21/22,Back problems,"Sep 16, 2021","Sep 27, 2021",12 days,2,20/21
Sebastian Rudy,20/21,Hamstring strain,"Apr 12, 2021","May 3, 2021",22 days,4,19/20
Sebastian Rudy,20/21,Internal ligament strain,"Jan 4, 2021","Jan 11, 2021",8 days,1,19/20
Sebastian Rudy,20/21,Rest,"Dec 10, 2020","Dec 10, 2020",1 days,1,19/20
Sebastian Rudy,20/21,Corona virus,"Nov 12, 2020","Nov 23, 2020",12 days,1,19/20
Sebastian Rudy,18/19,Fever,"Oct 25, 2018","Oct 29, 2018",5 days,1,17/18
Sebastian Rudy,16/17,Bruised ribs,"Dec 8, 2016","Dec 12, 2016",5 days,1,15/16
Sebastian Rudy,14/15,Fever,"Apr 30, 2015","May 7, 2015",8 days,1,13/14
Sebastian Rudy,14/15,Adductor pain,"Mar 5, 2015","Mar 12, 2015",8 days,1,13/14
Sebastian Rudy,14/15,minor knock,"Sep 18, 2014","Sep 18, 2014",1 days,-,13/14
James Rodríguez,23/24,Muscle injury,"Apr 15, 2024","Jun 5, 2024",52 days,12,22/23
James Rodríguez,22/23,unknown injury,"Mar 29, 2023","Apr 3, 2023",6 days,1,21/22
James Rodríguez,22/23,unknown injury,"Feb 16, 2023","Mar 11, 2023",24 days,3,21/22
James Rodríguez,22/23,unknown injury,"Feb 6, 2023","Feb 11, 2023",6 days,1,21/22
James Rodríguez,21/22,Quarantine,"Aug 12, 2021","Sep 21, 2021",41 days,10,20/21
James Rodríguez,20/21,Calf injury,"May 1, 2021","May 14, 2021",14 days,3,19/20
James Rodríguez,20/21,Calf injury,"Feb 22, 2021","Apr 1, 2021",39 days,5,19/20
James Rodríguez,20/21,Calf injury,"Feb 7, 2021","Feb 13, 2021",7 days,1,19/20
James Rodríguez,20/21,Calf strain,"Dec 6, 2020","Dec 31, 2020",26 days,5,19/20
James Rodríguez,20/21,Groin injury,"Oct 26, 2020","Nov 6, 2020",12 days,1,19/20
James Rodríguez,20/21,Knock,"Oct 18, 2020","Oct 24, 2020",7 days,-,19/20
James Rodríguez,20/21,Knock,"Oct 15, 2020","Oct 16, 2020",2 days,-,19/20
James Rodríguez,19/20,Hip injury,"Feb 7, 2020","Feb 17, 2020",11 days,2,18/19
James Rodríguez,19/20,Inner ligament injury,"Nov 15, 2019","Dec 23, 2019",39 days,10,18/19
James Rodríguez,19/20,unknown injury,"Nov 1, 2019","Nov 11, 2019",11 days,3,18/19
Alphonso Davies,24/25,Cruciate ligament tear,"Mar 24, 2025","Sep 30, 2025",191 days,22,23/24
Alphonso Davies,24/25,Torn muscle fiber,"Jan 23, 2025","Feb 16, 2025",25 days,6,23/24
Alphonso Davies,24/25,Torn muscle fiber,"Dec 8, 2024","Dec 15, 2024",8 days,2,23/24
Alphonso Davies,23/24,Internal ligament strain,"Feb 4, 2024","Feb 25, 2024",22 days,4,22/23
Alphonso Davies,22/23,Torn muscle bundle,"Apr 23, 2023","Jun 11, 2023",50 days,5,21/22
Alphonso Davies,22/23,Torn muscle fiber,"Nov 6, 2022","Nov 17, 2022",12 days,4,21/22
Alphonso Davies,22/23,Head injury,"Oct 10, 2022","Oct 13, 2022",4 days,1,21/22
Alphonso Davies,22/23,muscular problems,"Aug 18, 2022","Aug 22, 2022",5 days,1,21/22
Alphonso Davies,21/22,heart problems,"Jan 10, 2022","Apr 4, 2022",85 days,18,20/21
Alphonso Davies,21/22,Corona virus,"Jan 3, 2022","Jan 13, 2022",11 days,1,20/21
Alphonso Davies,21/22,Thigh problems,"Oct 18, 2021","Oct 25, 2021",8 days,2,20/21
Alphonso Davies,21/22,Knee problems,"Sep 6, 2021","Sep 9, 2021",4 days,1,20/21
Alphonso Davies,21/22,Ankle injury,"Jul 5, 2021","Aug 9, 2021",36 days,5,20/21
Alphonso Davies,20/21,Torn ankle ligaments,"Oct 22, 2020","Dec 7, 2020",47 days,10,19/20
Alphonso Davies,18/19,Inner ligament stretch of the knee,"Mar 18, 2019","Apr 15, 2019",29 days,5,17/18
Jonathan Meier,23/24,Hip flexor problems,"Feb 19, 2024","Mar 3, 2024",14 days,2,22/23
Jonathan Meier,23/24,Adductor pain,"Nov 2, 2023","Nov 6, 2023",5 days,1,22/23
Jonathan Meier,23/24,Adductor pain,"Oct 25, 2023","Oct 30, 2023",6 days,-,22/23
Jonathan Meier,22/23,infection,"Feb 20, 2023","Feb 27, 2023",8 days,1,21/22
Jonathan Meier,20/21,Torn muscle fiber,"Apr 8, 2021","May 9, 2021",32 days,6,19/20
Jonathan Meier,20/21,infection,"Oct 5, 2020","Oct 12, 2020",8 days,1,19/20
Jonathan Meier,18/19,Thigh problems,"Jan 13, 2019","Apr 14, 2019",92 days,8,17/18
Jonathan Meier,17/18,unknown injury,"Nov 27, 2017","Nov 30, 2017",4 days,-,16/17
Jonathan Meier,17/18,Syndesmotic ligament tear,"May 22, 2017","Nov 6, 2017",169 days,10,16/17
Jonathan Meier,16/17,Muscle injury,"Mar 27, 2017","Apr 17, 2017",22 days,2,15/16
Jonathan Meier,15/16,Ill,"Mar 31, 2016","Apr 4, 2016",5 days,1,14/15
Jonathan Meier,15/16,Broken toe,"Oct 1, 2015","Feb 1, 2016",124 days,9,14/15
Javi Martínez,24/25,unknown injury,"Jan 24, 2025","Jan 29, 2025",6 days,-,23/24
Javi Martínez,20/21,Corona virus,"Dec 29, 2020","Feb 13, 2021",47 days,10,19/20
Javi Martínez,20/21,Hamstring injury,"Dec 6, 2020","Jan 4, 2021",30 days,5,19/20
Javi Martínez,19/20,Fitness,"Feb 23, 2020","Feb 27, 2020",5 days,1,18/19
Javi Martínez,19/20,Torn muscle bundle,"Dec 22, 2019","Feb 22, 2020",63 days,7,18/19
Javi Martínez,19/20,Thigh problems,"Oct 23, 2019","Oct 31, 2019",9 days,2,18/19
Javi Martínez,19/20,Knee problems,"Jul 31, 2019","Aug 18, 2019",19 days,3,18/19
Javi Martínez,18/19,Head injury,"Mar 15, 2019","Mar 18, 2019",4 days,1,17/18
Javi Martínez,17/18,Ankle sprain,"Feb 2, 2018","Feb 9, 2018",8 days,2,16/17
Javi Martínez,17/18,influenza,"Jan 26, 2018","Jan 31, 2018",6 days,1,16/17
Javi Martínez,17/18,Shoulder injury,"Oct 16, 2017","Oct 23, 2017",8 days,2,16/17
Javi Martínez,17/18,Torn muscle fiber,"Aug 7, 2017","Aug 21, 2017",15 days,2,16/17
Javi Martínez,16/17,Broken collarbone,"May 8, 2017","Jul 6, 2017",60 days,4,15/16
Javi Martínez,16/17,cold,"May 4, 2017","May 8, 2017",5 days,1,15/16
Javi Martínez,16/17,Thigh problems,"Apr 17, 2017","Apr 24, 2017",8 days,2,15/16
Lukas Mai,24/25,unknown injury,"May 12, 2025","May 21, 2025",10 days,2,23/24
Lukas Mai,22/23,Tendon rupture,"Mar 29, 2023","Aug 16, 2023",141 days,17,21/22
Lukas Mai,22/23,unknown injury,"Jan 26, 2023","Feb 23, 2023",29 days,4,21/22
Lukas Mai,21/22,Knee problems,"Mar 13, 2022","Mar 16, 2022",4 days,-,20/21
Lukas Mai,21/22,Corona virus,"Dec 8, 2021","Dec 22, 2021",15 days,2,20/21
Lukas Mai,21/22,Adductor pain,"Oct 2, 2021","Oct 13, 2021",12 days,2,20/21
Lukas Mai,20/21,Thigh problems,"Mar 4, 2021","Apr 6, 2021",34 days,7,19/20
Lukas Mai,19/20,Ankle injury,"May 27, 2020","Jun 18, 2020",23 days,5,18/19
Lukas Mai,19/20,Knee problems,"Oct 9, 2019","Oct 22, 2019",14 days,6,18/19
Lukas Mai,17/18,Inner knee ligament tear,"Jun 12, 2018","Aug 5, 2018",55 days,3,16/17
Lukas Mai,17/18,Ankle problems,"Nov 6, 2017","Nov 13, 2017",8 days,4,16/17
Lukas Mai,16/17,Ill,"Oct 24, 2016","Oct 31, 2016",8 days,1,15/16
Lukas Mai,15/16,minor knock,"Sep 17, 2015","Sep 24, 2015",8 days,1,14/15
Franck Ribéry,22/23,inflammation,"Aug 19, 2022","Oct 21, 2022",64 days,9,21/22
Franck Ribéry,21/22,Muscle fatigue,"May 1, 2022","May 7, 2022",7 days,2,20/21
Franck Ribéry,21/22,unknown injury,"Mar 3, 2022","Mar 15, 2022",13 days,2,20/21
Franck Ribéry,21/22,Corona virus,"Jan 8, 2022","Feb 1, 2022",25 days,3,20/21
Franck Ribéry,21/22,unknown injury,"Dec 12, 2021","Dec 17, 2021",6 days,2,20/21
Franck Ribéry,21/22,Stomach flu,"Nov 24, 2021","Dec 4, 2021",11 days,3,20/21
Franck Ribéry,21/22,Ankle problems,"Oct 12, 2021","Oct 22, 2021",11 days,1,20/21
Franck Ribéry,21/22,Muscle fatigue,"Sep 23, 2021","Sep 30, 2021",8 days,1,20/21
Franck Ribéry,20/21,muscular problems,"Feb 4, 2021","Feb 27, 2021",24 days,3,19/20
Franck Ribéry,20/21,Knee problems,"Jan 6, 2021","Jan 15, 2021",10 days,3,19/20
Franck Ribéry,20/21,Ankle injury,"Oct 23, 2020","Oct 27, 2020",5 days,1,19/20
Franck Ribéry,19/20,unknown injury,"Jul 28, 2020","Aug 5, 2020",9 days,2,18/19
Franck Ribéry,19/20,Ankle surgery,"Dec 1, 2019","Apr 5, 2020",127 days,15,18/19
Franck Ribéry,18/19,muscular problems,"Apr 22, 2019","May 3, 2019",12 days,2,17/18
Franck Ribéry,18/19,Stomach flu,"Mar 1, 2019","Mar 5, 2019",5 days,1,17/18
Christian Früchtl,23/24,Torn lateral knee ligament,"Jan 31, 2024","Mar 1, 2024",31 days,4,22/23
Christian Früchtl,20/21,Broken collarbone,"Jun 7, 2021","Aug 29, 2021",84 days,5,19/20
Christian Früchtl,18/19,Elbow injury,"Apr 5, 2019","May 20, 2019",46 days,8,17/18
Christian Früchtl,18/19,Shoulder injury,"Nov 5, 2018","Nov 26, 2018",22 days,10,17/18
Christian Früchtl,17/18,Torn ankle ligaments,"Dec 7, 2017","Jan 22, 2018",47 days,8,16/17
Christian Früchtl,17/18,Syndesmotic ligament tear,"Apr 6, 2017","Jul 13, 2017",99 days,10,16/17
Christian Früchtl,16/17,Ill,"Oct 27, 2016","Oct 31, 2016",5 days,1,15/16
Christian Früchtl,15/16,concussion,"Apr 14, 2016","Apr 18, 2016",5 days,1,14/15
Sven Ulreich,24/25,Ill,"Nov 6, 2024","Nov 10, 2024",5 days,2,23/24
Sven Ulreich,23/24,Ill,"Dec 19, 2023","Dec 22, 2023",4 days,1,22/23
Sven Ulreich,23/24,Capsular injury,"Dec 11, 2023","Dec 15, 2023",5 days,1,22/23
Sven Ulreich,23/24,infection,"Oct 30, 2023","Nov 2, 2023",4 days,1,22/23
Sven Ulreich,21/22,Back problems,"Nov 26, 2021","Dec 1, 2021",6 days,1,20/21
Sven Ulreich,21/22,Inner knee ligament tear,"Sep 20, 2021","Oct 31, 2021",42 days,8,20/21
Sven Ulreich,17/18,Adductor pain,"Dec 7, 2017","Dec 13, 2017",7 days,2,16/17
Sven Ulreich,17/18,Elbow injury,"May 4, 2017","Jul 6, 2017",64 days,10,16/17
Sven Ulreich,15/16,Overstretching of the syndesmotic ligament,"Jan 14, 2016","Feb 18, 2016",36 days,5,14/15
Sven Ulreich,14/15,minor knock,"Oct 23, 2014","Oct 30, 2014",8 days,1,13/14
Sven Ulreich,13/14,Wrist injury,"Sep 23, 2013","Oct 24, 2013",32 days,13,12/13
Sven Ulreich,09/10,Broken fibula,"Mar 1, 2010","Apr 26, 2010",57 days,12,08/09
Joshua Kimmich,24/25,Tendon irritation,"Feb 24, 2025","Mar 4, 2025",9 days,1,23/24
Joshua Kimmich,23/24,Shoulder injury,"Jan 25, 2024","Feb 7, 2024",14 days,2,22/23
Joshua Kimmich,23/24,Ill,"Dec 15, 2023","Dec 22, 2023",8 days,2,22/23
Joshua Kimmich,23/24,Ill,"Oct 13, 2023","Oct 19, 2023",7 days,2,22/23
Joshua Kimmich,23/24,muscular problems,"Sep 12, 2023","Sep 14, 2023",3 days,-,22/23
Joshua Kimmich,22/23,Corona virus,"Oct 1, 2022","Oct 6, 2022",6 days,1,21/22
Joshua Kimmich,21/22,Fitness,"Dec 9, 2021","Jan 3, 2022",26 days,3,20/21
Joshua Kimmich,21/22,Corona virus,"Nov 22, 2021","Dec 9, 2021",18 days,4,20/21
